step,tower_type,weight_type,layer_num,best_ratio,locoop_loss*,loss_id,loss_ood,acc,ood_patch_percent
0,visual,W_up,11,0.15,0.6486108446121216,1.0933262186050414,-4.447153739929199,71.39999780273438,38.75918293762207
1,visual,W_up,10,0.15,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
2,visual,W_up,9,0.0,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
3,visual,W_up,8,0.0,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
4,visual,W_up,7,0.0,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
5,visual,W_up,6,0.0,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
6,visual,W_up,5,0.0,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
7,visual,W_up,4,0.0,0.6456304850578308,1.0836294593811036,-4.379989501953125,71.79999755859374,38.97908161926269
8,visual,W_up,3,0.05,0.6417443032264709,1.079728730201721,-4.379844150543213,71.9999976196289,39.000510162353514
9,visual,W_up,2,0.0,0.6417443032264709,1.079728730201721,-4.379844150543213,71.9999976196289,39.000510162353514
10,visual,W_up,1,0.0,0.6417443032264709,1.079728730201721,-4.379844150543213,71.9999976196289,39.000510162353514
11,visual,W_up,0,0.15,0.6411347684860229,1.079109362602234,-4.379746124267578,72.19999755859375,38.98673388671875
12,text,W_up,11,0.0,0.6411347684860229,1.079109362602234,-4.379746124267578,72.19999755859375,38.98673388671875
13,text,W_up,10,0.0,0.6411347684860229,1.079109362602234,-4.379746124267578,72.19999755859375,38.98673388671875
14,text,W_up,9,0.0,0.6411347684860229,1.079109362602234,-4.379746124267578,72.19999755859375,38.98673388671875
15,text,W_up,8,0.0,0.6411347684860229,1.079109362602234,-4.379746124267578,72.19999755859375,38.98673388671875
16,text,W_up,7,0.0,0.6411347684860229,1.079109362602234,-4.379746124267578,72.19999755859375,38.98673388671875
17,text,W_up,6,0.25,0.6317378611564636,1.0751227283477782,-4.433848552703857,71.60000109863282,38.64744898986817
18,text,W_up,5,0.1,0.6315100107192994,1.0787025060653685,-4.471924953460693,71.59999743652344,38.20918197631836
19,text,W_up,4,0.2,0.622933518409729,1.0759577770233155,-4.5302427330017085,72.00000109863281,38.419897857666015
20,text,W_up,3,0.05,0.6212303404808044,1.0793258838653566,-4.580955375671387,71.99999725341797,38.41989706420898
21,text,W_up,2,0.05,0.6193407897949219,1.076858130455017,-4.5751735229492185,71.60000109863282,38.42908203125
22,text,W_up,1,0.0,0.6193407897949219,1.076858130455017,-4.5751735229492185,71.60000109863282,38.42908203125
23,text,W_up,0,0.2,0.6158665771484375,1.0698511791229248,-4.539845817565918,72.4999970703125,38.67193811035156
