step,tower_type,weight_type,layer_num,best_ratio,locoop_loss*,loss_id,loss_ood,acc,ood_patch_percent
0,visual,W_up,11,0.1,0.5706745386123657,0.6618096232414246,-1.8227019309997559,81.91488647460938,45.22904586791992
1,visual,W_up,10,0.35,0.5277043581008911,0.6185630559921265,-1.8171734809875488,82.97872161865234,46.216888427734375
2,visual,W_up,9,0.4,0.5038496851921082,0.5928518176078796,-1.7800421714782715,81.91488647460938,47.79635238647461
3,visual,W_up,8,0.05,0.5032268762588501,0.5923103094100952,-1.7816681861877441,82.97872161865234,47.63351821899414
4,visual,W_up,7,0.25,0.4595632553100586,0.5477083325386047,-1.7629013061523438,85.10637664794922,47.76378631591797
5,visual,W_up,6,0.35,0.42134109139442444,0.5087377429008484,-1.7479329109191895,81.91488647460938,47.57381820678711
6,visual,W_up,5,0.1,0.40260180830955505,0.48978862166404724,-1.7437361478805542,82.97872161865234,48.02974319458008
7,visual,W_up,4,0.0,0.40260180830955505,0.48978862166404724,-1.7437361478805542,82.97872161865234,48.02974319458008
8,visual,W_up,3,0.0,0.40260180830955505,0.48978862166404724,-1.7437361478805542,82.97872161865234,48.02974319458008
9,visual,W_up,2,0.0,0.40260180830955505,0.48978862166404724,-1.7437361478805542,82.97872161865234,48.02974319458008
10,visual,W_up,1,0.25,0.4014478027820587,0.48900893330574036,-1.7512223720550537,86.17021179199219,48.279415130615234
11,visual,W_up,0,0.35,0.4001557230949402,0.48764631152153015,-1.7498115301132202,87.23403930664062,48.501953125
12,text,W_up,11,0.0,0.4001557230949402,0.48764631152153015,-1.7498115301132202,87.23403930664062,48.501953125
13,text,W_up,10,0.25,0.3973954916000366,0.4849836826324463,-1.7517638206481934,86.17021179199219,48.14372253417969
14,text,W_up,9,0.05,0.39313173294067383,0.4810236692428589,-1.7578383684158325,85.10637664794922,48.615936279296875
15,text,W_up,8,0.1,0.38752931356430054,0.4761905372142792,-1.7732242345809937,85.10637664794922,48.41510772705078
16,text,W_up,7,0.2,0.3815496861934662,0.4687139093875885,-1.7432843446731567,86.17021179199219,47.40012741088867
17,text,W_up,6,0.05,0.3713878095149994,0.4588123559951782,-1.7484910488128662,87.23403930664062,47.63351821899414
18,text,W_up,5,0.05,0.3711175322532654,0.4578129053115845,-1.7339073419570923,86.17021179199219,47.36213302612305
19,text,W_up,4,0.0,0.3711175322532654,0.4578129053115845,-1.7339073419570923,86.17021179199219,47.36213302612305
20,text,W_up,3,0.1,0.3699527084827423,0.4573272466659546,-1.7474905252456665,85.10637664794922,47.47611618041992
21,text,W_up,2,0.0,0.3699527084827423,0.4573272466659546,-1.7474905252456665,85.10637664794922,47.47611618041992
22,text,W_up,1,0.25,0.346375972032547,0.4354276955127716,-1.781034231185913,87.23403930664062,47.78007125854492
23,text,W_up,0,0.0,0.346375972032547,0.4354276955127716,-1.781034231185913,87.23403930664062,47.78007125854492
