step,tower_type,weight_type,layer_num,best_ratio,locoop_loss*,loss_id,loss_ood,acc,ood_patch_percent
0,visual,W_up,23,0.0,-1.4049331588745118,0.9063371181488037,-4.622540493011474,75.50000042724609,52.55273287963867
1,visual,W_up,22,0.0,-1.4049331588745118,0.9063371181488037,-4.622540493011474,75.50000042724609,52.55273287963867
2,visual,W_up,21,0.0,-1.4049331588745118,0.9063371181488037,-4.622540493011474,75.50000042724609,52.55273287963867
3,visual,W_up,20,0.05,-1.4075393114089967,0.9032960557937622,-4.621670734405518,75.99999664306641,52.449217193603516
4,visual,W_up,19,0.15,-1.4085115547180176,0.9037481899261475,-4.624519428253174,76.0999965209961,51.81132833862305
5,visual,W_up,18,0.1,-1.408647762298584,0.9054614486694336,-4.628218421936035,76.20000030517578,51.50702984619141
6,visual,W_up,17,0.0,-1.408647762298584,0.9054614486694336,-4.628218421936035,76.20000030517578,51.50702984619141
7,visual,W_up,16,0.0,-1.408647762298584,0.9054614486694336,-4.628218421936035,76.20000030517578,51.50702984619141
8,visual,W_up,15,0.05,-1.4105628185272217,0.9042741584777833,-4.62967395401001,76.00000030517577,51.42890557861328
9,visual,W_up,14,0.1,-1.4165615339279174,0.9008485155105591,-4.63482015991211,75.8999966430664,51.25234167480469
10,visual,W_up,13,0.2,-1.4167976379394531,0.9037973461151123,-4.64118996810913,76.19999639892578,51.159764434814456
11,visual,W_up,12,0.0,-1.4167976379394531,0.9037973461151123,-4.64118996810913,76.19999639892578,51.159764434814456
12,visual,W_up,11,0.15,-1.4182769498825074,0.9032027807235717,-4.6429594612121585,76.39999615478516,51.06288900756836
13,visual,W_up,10,0.0,-1.4182769498825074,0.9032027807235717,-4.6429594612121585,76.39999615478516,51.06288900756836
14,visual,W_up,9,0.1,-1.4183111171722411,0.9031647491455078,-4.642951732635498,75.29999652099609,51.119529266357425
15,visual,W_up,8,0.0,-1.4183111171722411,0.9031647491455078,-4.642951732635498,75.29999652099609,51.119529266357425
16,visual,W_up,7,0.0,-1.4183111171722411,0.9031647491455078,-4.642951732635498,75.29999652099609,51.119529266357425
17,visual,W_up,6,0.05,-1.4191376638412476,0.901809079170227,-4.641893547058105,75.89999993896484,51.13320202636719
18,visual,W_up,5,0.0,-1.4191376638412476,0.901809079170227,-4.641893547058105,75.89999993896484,51.13320202636719
19,visual,W_up,4,0.0,-1.4191376638412476,0.901809079170227,-4.641893547058105,75.89999993896484,51.13320202636719
20,visual,W_up,3,0.0,-1.4191376638412476,0.901809079170227,-4.641893547058105,75.89999993896484,51.13320202636719
21,visual,W_up,2,0.15,-1.4209320631027222,0.9002204084396362,-4.642305004119873,75.79999627685547,51.133983184814454
22,visual,W_up,1,0.0,-1.4209320631027222,0.9002204084396362,-4.642305004119873,75.79999627685547,51.133983184814454
23,visual,W_up,0,0.4,-1.4210365495681763,0.9000176210403442,-4.642108280181885,75.89999627685548,51.12968612670898
24,text,W_up,11,0.35,-1.435381700515747,0.9132221374511719,-4.697207614898682,75.60000042724609,50.48827996826172
25,text,W_up,10,0.0,-1.435381700515747,0.9132221374511719,-4.697207614898682,75.60000042724609,50.48827996826172
26,text,W_up,9,0.0,-1.435381700515747,0.9132221374511719,-4.697207614898682,75.60000042724609,50.48827996826172
27,text,W_up,8,0.0,-1.435381700515747,0.9132221374511719,-4.697207614898682,75.60000042724609,50.48827996826172
28,text,W_up,7,0.1,-1.4457925004959107,0.9211844701766968,-4.733953880310058,75.29999676513673,50.22656201171875
29,text,W_up,6,0.05,-1.4542660961151124,0.9190323944091797,-4.746596981048584,74.89999688720704,50.124609405517575
30,text,W_up,5,0.35,-1.4748626441955566,0.9195131969451904,-4.788751682281494,75.4000004272461,50.03632580566406
31,text,W_up,4,0.0,-1.4748626441955566,0.9195131969451904,-4.788751682281494,75.4000004272461,50.03632580566406
32,text,W_up,3,0.2,-1.4796771659851073,0.9130454597473144,-4.785445251464844,75.70000030517578,50.04960751342774
33,text,W_up,2,0.0,-1.4796771659851073,0.9130454597473144,-4.785445251464844,75.70000030517578,50.04960751342774
34,text,W_up,1,0.05,-1.485700807571411,0.8977013912200927,-4.766804336547851,76.10000018310546,50.02968643188476
35,text,W_up,0,0.2,-1.4952054147720337,0.8911320905685425,-4.772675010681152,76.90000006103516,49.99218719482422
