step,tower_type,weight_type,layer_num,best_ratio,locoop_loss*,loss_id,loss_ood,acc,ood_patch_percent
0,visual,W_up,"(3, 1)",0.4,0.1235484966635704,0.1827636067867279,-5.92151091003418,97.10000134277344,0.12968749994784592
1,visual,W_up,"(3, 0)",0.4,0.11995478832721711,0.17560060584545137,-5.564582260131836,97.10000134277344,0.1296875085309148
2,visual,W_up,"(2, 17)",0.4,0.11987022364139557,0.17261575508117677,-5.274553108215332,97.00000408935547,0.14531250739097595
3,visual,W_up,"(2, 16)",0.4,0.11532404810190201,0.16917313861846925,-5.384909088134766,96.90000213623047,0.11562500384449959
4,visual,W_up,"(2, 15)",0.4,0.11442760014533997,0.16928454661369324,-5.485694923400879,96.60000036621093,0.11718750002980233
5,visual,W_up,"(2, 14)",0.0,0.11442760014533997,0.16928454661369324,-5.485694923400879,96.60000036621093,0.11718750002980233
6,visual,W_up,"(2, 13)",0.0,0.11442760014533997,0.16928454661369324,-5.485694923400879,96.60000036621093,0.11718750002980233
7,visual,W_up,"(2, 12)",0.0,0.11442760014533997,0.16928454661369324,-5.485694923400879,96.60000036621093,0.11718750002980233
8,visual,W_up,"(2, 11)",0.0,0.11442760014533997,0.16928454661369324,-5.485694923400879,96.60000036621093,0.11718750002980233
9,visual,W_up,"(2, 10)",0.1,0.11366978305578232,0.16943627870082856,-5.576649826049804,96.70000231933594,0.11250000002980232
10,visual,W_up,"(2, 9)",0.0,0.11366978305578232,0.16943627870082856,-5.576649826049804,96.70000231933594,0.11250000002980232
11,visual,W_up,"(2, 8)",0.0,0.11366978305578232,0.16943627870082856,-5.576649826049804,96.70000231933594,0.11250000002980232
12,visual,W_up,"(2, 7)",0.0,0.11366978305578232,0.16943627870082856,-5.576649826049804,96.70000231933594,0.11250000002980232
13,visual,W_up,"(2, 6)",0.25,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
14,visual,W_up,"(2, 5)",0.0,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
15,visual,W_up,"(2, 4)",0.0,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
16,visual,W_up,"(2, 3)",0.0,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
17,visual,W_up,"(2, 2)",0.0,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
18,visual,W_up,"(2, 1)",0.0,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
19,visual,W_up,"(2, 0)",0.0,0.11358450949192048,0.16886907482147218,-5.528456344604492,96.90000329589844,0.11406250193715095
20,visual,W_up,"(1, 1)",0.4,0.11244753962755204,0.1680161576271057,-5.5568620910644535,96.69999938964844,0.1109375018030405
21,visual,W_up,"(1, 0)",0.3,0.10786460572481156,0.16817063927650452,-6.030603080749512,96.50000134277344,0.11718750494718552
22,visual,W_up,"(0, 1)",0.0,0.10786460572481156,0.16817063927650452,-6.030603080749512,96.50000134277344,0.11718750494718552
23,visual,W_up,"(0, 0)",0.1,0.10755820524692536,0.16811548972129822,-6.055729034423828,96.40000231933594,0.12031250265240669
